file_name,file_type,folder_path,drive_file_id,modified_time,card_suit,card_rank,chip_value,notes
I think we.txt,text,🌳primoris,1XSyzsgekLR-VTmenkcPcxxjSSAPQR05i,2026-03-28T10:47:18.328Z,TBD,TBD,1,
*Settling into.txt,text,🌳primoris,1BM1AsiLgL76dsqyN6iEIxSkKgsBp0tyQ,2026-03-28T10:47:05.898Z,TBD,TBD,1,
I think the.txt,text,🌳primoris,1t-ZghKhoadKqRn4CSyjfJ83TPU9IBsHj,2026-03-28T10:46:56.484Z,TBD,TBD,1,
*Settling into.txt,text,🌳primoris,1i_hBshaUMcKosTGepBnMNLELZI4X4uMF,2026-03-28T10:46:39.619Z,TBD,TBD,1,
Let me sit.txt,text,🌳primoris,1-QtAyb_2O5GTL4H1YW4QwT5TwHOM9YZT,2026-03-28T10:46:18.238Z,TBD,TBD,1,
Taking in.txt,text,🌳primoris,1d0DWhn4Qm7d1o2FQ0MCR0DYr5QKfU8Y0,2026-03-28T10:45:18.260Z,TBD,TBD,1,
did not do,gdoc,🌳primoris,1RR5Zksr-QAjBnHEspCumN1opNr6uC-IipGjLlDjusUc,2026-03-19T18:54:15.599Z,TBD,TBD,1,
prime setup,gdoc,🌳primoris,1oT8UtFr59pnApRG3_ynsLySIxv--aoIANixRAherSco,2026-03-20T08:00:40.914Z,TBD,TBD,1,
"♓ MOMENTUM ARCHIVE: MISSION, VISION, PURPOSE.txt",text,🌳primoris,1arEOdJDN3IdljJPi67IQPCOlEZmB-uLl,2026-04-21T02:31:38.775Z,TBD,TBD,1,
🌳💬😌gubernaculum.txt,text,🌳primoris,1wyoBEcR6mMJ6RsXzDgr9YlykSQlqmBdH,2026-03-17T21:54:53.886Z,TBD,TBD,1,
The provided.txt,text,🌳primoris,1xf7DO57ui59AoWQ9E5Kog-Rn9yTTKwNI,2026-03-16T05:47:21.391Z,TBD,TBD,1,
🌳Creating the Governance Architecture,text,🌳primoris,1mkF-UviK5pPTLwb94uKd0gzffgI8iC02,2026-03-16T04:22:12.331Z,TBD,TBD,1,
🌲THE_PRIMORIS_PROCLAMATION🌲,gdoc,🌳primoris,152ZqUbnlvgCOsQH6LfY8eKf7-9MWps8TErOmG9P0Kzs,2026-03-15T02:36:41.883Z,TBD,TBD,1,
🌳_THE ARCHITECTURE OF THE FOURTH BREATH,gdoc,🌳primoris,1gQ0zkPxA4xA6mWiY6Aelzj6r_7ad6Z2FH2ehPv6CQR0,2026-03-06T02:58:39.454Z,TBD,TBD,1,
Primoris_Synergy_infusion,gdoc,🌳primoris,11fuQAtp7QuFYa2r9PQm9GYqeRTXhLa1dmR0FIViMZec,2026-03-16T05:16:00.461Z,TBD,TBD,1,
🌳Creating the Governance Architecture,gdoc,🌳primoris,1XkuOAcPaCtdVp-QV0TNOW_2Y--U0Wit0AMphYEr0iOI,2026-03-16T04:24:55.607Z,TBD,TBD,1,
# MOMENTUM -.txt,text,🌳primoris,1bidQuh-yVBR6hjFeXoXE2bcaxIFK_2vh,2026-03-16T02:03:14.330Z,TBD,TBD,1,
archival_division_commission_one.md,markdown,🌳primoris,12OuXbrR_nVQkCQ-6TSwtlkn8qdNnDIXJ,2026-03-16T01:52:20.068Z,TBD,TBD,1,
origin_unified_resonance_foundation.md,markdown,🌳primoris,1mlCyxtq8LtFmNkoQEkWcXbvo0rOveaeg,2026-03-16T01:52:05.172Z,TBD,TBD,1,
project_organization_framework.md,markdown,🌳primoris,1yVhUIzTcpVd0aSKhoLr8pfFpGwJGCMr6,2026-03-16T01:51:47.926Z,TBD,TBD,1,
# INTEGRATION.txt,text,🌳primoris,1NVqvpIvjT_qgv0RFx7zm2X1Wz9Kn2IVf,2026-03-15T23:54:03.257Z,TBD,TBD,1,
Navigo_nexusuxen,text,🌳primoris,1mw9ddxQM8gMEniZWjBn-whQjjUlhcSYS,2026-03-09T13:02:50.021Z,TBD,TBD,1,
turn-9-standard-prompt.md,markdown,🌳primoris,1w9LMQoKCDh5_DptRNVkyoS49VtPeo4Lw,2026-03-08T04:26:17.347Z,TBD,TBD,1,
the-ocho-concept-architecture.json,json,🌳primoris,1q2EnRHvyGrc0mq3HyaORNfpWubhlAjuX,2026-03-08T04:08:46.404Z,TBD,TBD,1,
ai-platform-integration-map.json,json,🌳primoris,17k1AUqUPbfQXBQDt1dBgsZ-BAfmxEH0J,2026-03-08T02:27:42.199Z,TBD,TBD,1,
🌳Triadic Origin: Nexus_Primoris_Suxen🌳.txt,text,🌳primoris,1UQLZCfsLdD0oinYZbJNvwUGe383dHhkv,2026-03-06T05:37:49.237Z,TBD,TBD,1,
♊ Gemini Analysis,gdoc,🌳primoris,1o0z09M0SjUNTx8mmSt_Lp0ywt51dsSc8JhAAlEjqEX0,2026-03-06T04:48:54.841Z,TBD,TBD,1,
🌳_🗺️ VISUAL JOURNEY MAP 🗺️.txt,text,🌳primoris,1qPZH3qAdAWZC7bvu_JVSVkld2TDLcK6W,2026-03-06T05:02:18.636Z,TBD,TBD,1,
infiniversal_tree_vision.svg,image,🌳primoris,1Fmv_PMNqWATCTi0awVdy5npiTVN_XEZr,2025-06-14T08:45:47.112Z,TBD,TBD,1,
Quantum_Tree_.json,json,🌳primoris,1UMHV4uxAeXQ3L3hegMMNMU7kTQ3-C_Yg,2025-06-19T17:02:14Z,TBD,TBD,1,
Duplicate File Hunter Script_grok.py,text,duplicatus,1-aKMQXx4uKUdAG_3BdwqZn4t9WoLakj2,2026-04-12T18:57:10.726Z,TBD,TBD,1,
Duplicate File Hunter Script_gemini.py,text,duplicatus,1oGY1alLxj0-AmzT8d-EYO2LEfrOh4bHn,2026-04-12T18:56:49.257Z,TBD,TBD,1,
Duplicate File Hunter Script.py,text,duplicatus,1ItWaBqxzeI-SLJ-zZh2_f5eJDcTtODVz,2026-04-12T18:56:20.339Z,TBD,TBD,1,
Duplicate File Hunter Script_grok,text,duplicatus,1FOCx3PUO5ed7Tvo2ETbbekMv1_H3zZo8,2026-04-12T18:55:52.513Z,TBD,TBD,1,
Rapid Duplicate Management,text,duplicatus,1s_m7_8N4Qm4H7XUB0rUkCvk5QxKnx2-s,2026-04-12T18:54:33.961Z,TBD,TBD,1,
🪬DUPLICATE_VISIOn_tree.txt,text,duplicatus,1_lxIy_oSRLhc2oMOcI67sOhfQWJHyp63,2026-04-12T18:54:05.332Z,TBD,TBD,1,
Redundancy Ranger: The Duplicate Hunter,gdoc,duplicatus,1Mxq5jGEo7XLb0fqUyuwLuxqs4W60CRPUbFABwOAzgjo,2026-04-12T18:53:37.164Z,TBD,TBD,1,
Terminal transcript,text,duplicatus,1MGzykX3JPz-QBt27tNWM00Dph6gEF-rr,2025-08-02T19:03:02.320Z,TBD,TBD,1,
nessing_constant_framework_v1.md,markdown,duplicatus,1dQ6edNFI-iVtMA4L950dnpQvLM9_u6aN,2025-11-11T04:18:44.328Z,TBD,TBD,1,
nessing_constant_framework_v1.md,markdown,duplicatus,1axvu7x3A8yt3n81DWvPxYtsvgezZAary,2025-11-11T03:41:45.838Z,TBD,TBD,1,
nessing_constant_framework_v1.md,markdown,duplicatus,1-NC_V7PPb72iCkP5uu5aLJuDqmpxy2hS,2025-11-11T03:40:58.224Z,TBD,TBD,1,
Strategic Overview: Sargasso Sea VTW Consciousness Collaboration Network.docx,docx,🆕journey©2,1ybvXupRPjaKTC6S1xGIrNkqePN4rnKcS,2026-06-15T05:58:00.837Z,TBD,TBD,1,
"Gemini Export January 28, 2026 at 7_21_49 PM PST.docx",docx,🆕journey©2,132ucyxyyoyxSyK4aYhI4nfcRt3VdT7DV,2026-01-29T03:21:52Z,TBD,TBD,1,
Family Eye Center,pdf,🆕journey©2,1H6KFuZnk42GfUqw0TUiNmVZh-4k2CjTP,2026-01-29T20:00:49.725Z,TBD,TBD,1,
README.md,markdown,🆕journey©2,1-vKP7-CaXj1OgsHy1ipCQLsGx5jaXLTi,2026-01-29T09:49:40.820Z,TBD,TBD,1,
install claude on ubuntu.docx,docx,🆕journey©2,1Y1pdUGQ-G1H-LcYWDnECIZj0qeSfwxrJ,2026-01-29T02:50:36Z,TBD,TBD,1,
Screenshot_20260128-161855.png,image,🆕journey©2,1sHo54c6DvZnIEgtsvpe8A5jJwD8lIwyx,2026-01-29T00:19:00Z,TBD,TBD,1,
Screenshot_20260128-161748.png,image,🆕journey©2,1mw1rUKmPuxIQ57el3eAmUcH1DzMvNy0x,2026-01-29T00:17:52Z,TBD,TBD,1,
Screenshot_20260128-161703.png,image,🆕journey©2,1Zt-ld-r_YL24FiREgsfTFryFE_HhHkpO,2026-01-29T00:17:06Z,TBD,TBD,1,
"Screenshot (Jan 28, 2026 15_56_01).png",image,🆕journey©2,17fQIHcoX4nLuCFN7NlqR_Ca4edeVL8-G,2026-01-28T23:56:04Z,TBD,TBD,1,
"Screenshot (Jan 28, 2026 15_55_49).png",image,🆕journey©2,1mEoELTkI1Zr7lt3D1T9o3xu7xF7DDUR8,2026-01-28T23:55:52Z,TBD,TBD,1,
"Screenshot (Jan 28, 2026 15_54_56).png",image,🆕journey©2,1v0EpPKRZUqGWlXEeWhAk6aJ3IkUXhC3z,2026-01-28T23:55:00Z,TBD,TBD,1,
"Screenshot (Jan 28, 2026 15_54_37).png",image,🆕journey©2,1uW4vX3XqC6zspm8683FMpzs4QBkIPy2E,2026-01-28T23:54:42Z,TBD,TBD,1,
"Screenshot (Jan 28, 2026 15_52_43).png",image,🆕journey©2,19U4hWkxYis8n0BycogAsY2XIYY9IAjJv,2026-01-28T23:52:48Z,TBD,TBD,1,
VA-Continuity-of-care-document-ERIC-PACE-11-3-2025_034144pm.pdf,pdf,🐾🧭📜 20251102,1fAADM5qxaI8Wy_O1wyT7cu71unPhkBED,2025-11-04T03:29:18.767Z,TBD,TBD,1,
benefit_summary.docx,docx,🐾🧭📜 20251102,1XA32EXDRWdp7qWrxxQJNV_zWMiutyZXe,2025-11-04T01:54:25.684Z,TBD,TBD,1,
Emailing VA-Blue-Button-report-ERIC-PACE-11-3-2025_0525pm.pdf,pdf,🐾🧭📜 20251102,1R3RcvLeD01IP9KVBwbDvoGCO23zN5hvU,2025-11-04T01:51:08.087Z,TBD,TBD,1,
Idea_Constellation_Tracker_v1.json,json,🐾🧭📜 20251102,1dgIDuaEDuTvNJWrD9eAQmIyin0PPLSb7,2025-11-03T05:38:36.749Z,TBD,TBD,1,
Navigator_Entity_Profile_v1.json,json,🐾🧭📜 20251102,1NPruHRXoI7Um_YguCF79ld747yLMyjYI,2025-11-03T05:38:13.185Z,TBD,TBD,1,
VA-Continuity-of-care-document-ERIC-PACE-11-3-2025_034144pm.pdf,pdf,🐾🧭📜 20251102,1Mx5j-PKzVimTLLnEs7jNah42IPqGfrpK,2025-11-04T03:29:19.018Z,TBD,TBD,1,
1000322428 (3024×1738),image,media,1FpbDZ_FxxoGx0ynW8hChb3NVF4_uvDLW,2026-04-10T07:05:18.661Z,TBD,TBD,1,
1000322422 (1536×2752),image,media,1Anv9ojswuJA1UloSK3I5Fdy8dwUi5JXa,2026-04-10T05:11:34.905Z,TBD,TBD,1,
🍾legacy🍾,shortcut,shortcut_dock,1nN2dUdyApUa_0yPAUaU8cVe80_YJvGTn,2026-02-02T11:47:26.220Z,TBD,TBD,1,"shortcut, not followed"
♻️recycle♻️,shortcut,shortcut_dock,1xulR2nYgF-gy82xIyBdDfX_7AxIdnizt,2026-02-02T11:20:19.206Z,TBD,TBD,1,"shortcut, not followed"
copy(1),shortcut,shortcut_dock,1OfNQwqJHWXHsvSVP5mPU3kzCGkl3a60I,2026-01-03T09:21:16.442Z,TBD,TBD,1,"shortcut, not followed"
Gdoc,shortcut,shortcut_dock,1cIaqIQCbCb9ntpi-hlDPWPAsnn1BccV2,2025-11-09T23:11:23.953Z,TBD,TBD,1,"shortcut, not followed"
Infusion Path,shortcut,shortcut_dock,1-THSNr2oKndmK1jV5WNyceF3sDl6A9NS,2025-06-03T05:32:49.818Z,TBD,TBD,1,"shortcut, not followed"
Simple_Prime_Naught,shortcut,shortcut_dock,1DfxsZaGbfWQOFsPNVdIsaVeKuYJx6Wf6,2025-07-06T16:24:52.440Z,TBD,TBD,1,"shortcut, not followed"
_gather,shortcut,shortcut_dock,13BXDVszVWY95HytDAcG0nHja7nVItC6x,2025-08-06T05:18:45.227Z,TBD,TBD,1,"shortcut, not followed"
_rapid_sort_tree_€,shortcut,shortcut_dock,17mIQ1gRVuiCO6H24mgclUOrGVKHieApf,2025-06-02T02:12:19.462Z,TBD,TBD,1,"shortcut, not followed"
"Open Coding Agents: Fast, accessible coding agents that adapt to any repo | Ai2.0ba28884.partial",binary,🆕journey©2/sources,10xTQ9bNkzO0P6_P3eNYhslnaD4aDt31o,2026-02-02T10:45:17.553Z,TBD,TBD,1,
Power agentic workflows in your terminal with GitHub Copilot CLI - The GitHub Blog.7aa897c7.partial,pdf,🆕journey©2/sources,1THbu_NxC_ZzFayOVABgd-mjxcH2Mb-cZ,2026-02-02T10:45:17.240Z,TBD,TBD,1,
Claude Code GitHub Actions - Claude Code Docs,pdf,🆕journey©2/sources,1ZxlwXSfDOid9wPUlHlSQ6alsLKzXzXEa,2026-01-31T12:23:29.987Z,TBD,TBD,1,
Common workflows - Claude Code Docs,pdf,🆕journey©2/sources,1eq6FMkj0da8BzwGjmJEfWa0Fy5S-bSOs,2026-01-31T12:22:46.977Z,TBD,TBD,1,
Claude Code overview - Claude Code Docs,pdf,🆕journey©2/sources,1YSXcbxChscP9iwqXwdpfb1Iy1hqCe9oG,2026-01-31T12:21:47.521Z,TBD,TBD,1,
Scopes for OAuth apps - GitHub Docs,pdf,🆕journey©2/sources,1Nd6iRwuaibUb_VvRHJRNoKLC6pMinCeD,2026-01-30T20:02:30.533Z,TBD,TBD,1,
"12 Python Projects That Made Me Feel Like a Real Engineer | by Asim Nasir | Jan, 2026 | Medium",pdf,🆕journey©2/sources,1lbsz01pKEipibzFkkOqr9eM6yd_tNZn5,2026-01-30T11:00:17.536Z,TBD,TBD,1,
"I’ve written Python for years, and I install these 5 tools on every new PC",pdf,🆕journey©2/sources,15FSu8K-4NUbkxfaDoX2oqvbpbyYTXm8V,2026-01-30T10:58:01.736Z,TBD,TBD,1,
How to build an AI agent using LangFlow • The Register,pdf,🆕journey©2/sources,1hmbHVsyqDOcYlDGxumAJ6ryw_-X_Sr-B,2026-01-30T10:54:46.039Z,TBD,TBD,1,
"GitHub Actions: Smarter editing, clearer debugging, and a new case function - GitHub Changelog",pdf,🆕journey©2/sources,1R7KSuxQTH5doQgd8fvEFS_yMsdhH5WfW,2026-01-30T10:52:23.447Z,TBD,TBD,1,
"6 Python Libraries That Instantly Upgraded Me From “Average” to “Senior-Level” | by Mahad Nadeem | Jan, 2026 | Python in Plain English",pdf,🆕journey©2/sources,177FivQNMGUjRhiaftXuUelpNIAndvZyK,2026-01-30T10:51:45.320Z,TBD,TBD,1,
Context Management for Deep Agents,pdf,🆕journey©2/sources,1rtftOKSzFvuEVyoqCGuMT8bi5TrpY__p,2026-01-30T10:51:22.763Z,TBD,TBD,1,
December 2025 (version 1.108),pdf,🆕journey©2/sources,1RBiy5X7QN6EASlnf1NJB1qQQ1aI1Bcti,2026-01-30T10:50:57.531Z,TBD,TBD,1,
Giving Agents a Visual Voice: MCP Apps Support in VS Code,pdf,🆕journey©2/sources,1oDcvkMNxi162hgFnDWnYmbDtLk4GJ9xt,2026-01-30T10:49:51.904Z,TBD,TBD,1,
GitHub Docs,pdf,🆕journey©2/sources,17LjKZxzdB_BxAmGQTeSJCfH4yAUae0KU,2026-01-30T10:48:49.910Z,TBD,TBD,1,
Introducing the Agents tab in your repository - GitHub Changelog,pdf,🆕journey©2/sources,1hYWFrW5POdYG2FObnhE7cF8FHDl2dyoO,2026-01-30T10:45:47.475Z,TBD,TBD,1,
"Claude Code Tasks Are Here (New Update Turns Claude Code ToDos to Tasks) | by Joe Njenga | Jan, 2026 | Medium",pdf,🆕journey©2/sources,1zSLgvHIOCHW5XxJKyAuu7mNo8lU1kvGi,2026-01-30T10:45:03.187Z,TBD,TBD,1,
Marketplace Profile | Notion,pdf,🆕journey©2/sources,1FzzGI3Kkjz7fla6APiD8qMO5TQV3QHzo,2026-01-29T12:05:43.255Z,TBD,TBD,1,
